PC1,PC2,target_fraud
-10882.70042486699,488.24321874152156,0
20121.797302416373,5575.0943816164345,1
4581.564082536253,1712.0289900999624,0
19291.077094677377,-14326.038519161793,0
-8274.34387267831,-3014.3364926237455,0
-3462.241673995668,10403.892047697833,0
8794.725713097181,-7596.446776060215,0
8558.906862623153,-2164.353733763709,0
-9333.998653910501,-1919.562909073594,0
-11617.857851211254,4294.015608999194,0
4868.065509792239,-1443.1642231653093,0
24467.288470964362,-5790.605992713553,0
-1199.7259692969255,17311.306830427362,0
-10131.784226497803,819.0149242623634,1
-11670.04565712695,-654.9067091391234,1
474.7066592755382,13814.521358487935,0
-2522.8084884964264,275.2796274374059,0
-12434.784926886812,2532.1018294174864,0
-6165.284602892527,-4513.144100321496,0
-3131.1522477930375,-5323.661471161526,0
-4420.145677302948,-2114.3913435195946,0
-13911.340236415383,-766.5667039414416,0
-10625.605585576795,-536.9780819759376,0
-12629.77505279463,746.0852794787188,0
-4924.128295533161,11237.536176363075,0
-8461.051886703975,9409.966399750772,0
7408.111488333405,-6079.288049949833,0
6044.296591675549,5181.905181802404,0
7667.778058190248,5076.07119150918,0
2803.333947917621,-928.7268687915262,0
-4122.3214955812255,153.47992277412595,0
8092.768962264625,15772.479400586413,0
-8820.213989779546,3887.8240731798614,0
-6523.523048559677,2749.072332686025,0
-12005.547039550536,-630.9343050409084,1
8221.97486115689,-4204.49848640146,0
-8480.537734186,213.08536717128436,0
33738.889541383396,6699.026497626068,1
19495.734912083608,-8025.880765833999,0
23927.690911936625,-14452.443697047298,0
26390.59642571147,-5221.9394432743575,1
-9942.521632924705,-4834.457161087947,0
-1287.4248685274451,-1028.4262793639173,0
24910.391812876063,-5525.7447759875695,0
-6200.50437822222,-2977.9700379023143,0
3007.0863413783773,13385.381621445453,0
-10031.1868891205,-4245.697246423586,0
10049.301829369739,5012.154047256188,1
-11066.59166422692,5815.4116106724305,0
-10460.186912583822,2941.2166102544406,1
10014.287737135459,-8277.248082897484,0
17416.024347698698,13485.854456597132,0
14069.449464492875,7942.093974841229,0
-10146.971537236412,-2987.332408207002,0
9960.697251718793,3948.304766230848,1
